V1,V2,iteration,Subject,F1_V1_T1,F1_V1_T2,F1_V1_T3,F1_V1_T4,F1_V1_T5,F1_V1_T6,F1_V1_T7,F1_V1_T8,F1_V1_T9,F1_V1_T10,F2_V1_T1,F2_V1_T2,F2_V1_T3,F2_V1_T4,F2_V1_T5,F2_V1_T6,F2_V1_T7,F2_V1_T8,F2_V1_T9,F2_V1_T10,F3_V1_T1,F3_V1_T2,F3_V1_T3,F3_V1_T4,F3_V1_T5,F3_V1_T6,F3_V1_T7,F3_V1_T8,F3_V1_T9,F3_V1_T10,F2_3_V1_T1,F2_3_V1_T2,F2_3_V1_T3,F2_3_V1_T4,F2_3_V1_T5,F2_3_V1_T6,F2_3_V1_T7,F2_3_V1_T8,F2_3_V1_T9,F2_3_V1_T10,F1_V2_T1,F1_V2_T2,F1_V2_T3,F1_V2_T4,F1_V2_T5,F1_V2_T6,F1_V2_T7,F1_V2_T8,F1_V2_T9,F1_V2_T10,F2_V2_T1,F2_V2_T2,F2_V2_T3,F2_V2_T4,F2_V2_T5,F2_V2_T6,F2_V2_T7,F2_V2_T8,F2_V2_T9,F2_V2_T10,F3_V2_T1,F3_V2_T2,F3_V2_T3,F3_V2_T4,F3_V2_T5,F3_V2_T6,F3_V2_T7,F3_V2_T8,F3_V2_T9,F3_V2_T10,F2_3_V2_T1,F2_3_V2_T2,F2_3_V2_T3,F2_3_V2_T4,F2_3_V2_T5,F2_3_V2_T6,F2_3_V2_T7,F2_3_V2_T8,F2_3_V2_T9,F2_3_V2_T10
ɔ,iːtɔɮiːg,four,f3,605.0874800412,662.7214212743,703.6658448723,732.6457122351,756.3073159694,767.5395297216,767.0087974237,765.7342284198,745.7760738091,668.7561355538,1743.8423521424,1702.0195644776,1635.055402753,1583.801219372,1529.1377187548,1475.3376645058,1430.8670723676,1412.2291404264,1405.986363035,1405.8877180781,3050.5330187751,3105.6076159632,3105.9027984269,3071.6261205637,3044.7600304081,3033.2506851167,3024.9854515643,3022.0817279309,3021.2920450599,3036.0530711056,2407.4999663719,2396.8470482668,2372.9510153788,2337.9246405929,2286.9488745814,2250.5352979753,2229.2597619108,2214.6745386114,2210.1480358421,2213.4868986049,640.1754776176,568.2984355808,539.1709961498,521.32502266,519.177258466,518.91608212,515.9932276351,507.9507587103,485.3839946183,439.3245928868,1996.159064161,2003.2175896797,2094.7173942433,2147.658291818,2183.2191448134,2214.8957334773,2264.0752685256,2339.0377123623,2452.2348607696,2511.018685197,3124.8779442551,3129.3659677902,3131.8252911413,3131.2411762365,3129.7058912258,3100.7215048623,3064.1865193918,3036.8596871943,3012.1116096324,2992.0722979781,2573.8550654419,2593.6968353504,2628.5102164315,2643.559511616,2650.1271304084,2657.8086191698,2664.1308939587,2687.9486997783,2732.173235201,2750.4637573822
ʊ,aːsʊɮaːr,four,f3,530.6608294221,506.5825646219,493.9721362191,488.926046811,491.0120644334,493.0980820559,492.4157458529,483.5870369794,474.7583281059,462.1787752531,1484.1717691692,1463.4439529548,1450.6753358273,1443.9159805559,1445.2968006626,1444.9724679535,1447.4822846527,1460.2550733755,1473.0278620982,1490.1324002262,2963.2247478581,2953.8795206707,2947.236466098,2941.9758281964,2936.7151902949,2924.9648206348,2914.2490816101,2913.8967146179,2913.5443476256,2897.4089131429,2289.819763416,2254.0626947632,2218.3056261104,2188.5908877831,2184.2638617618,2182.7144381231,2182.2295001097,2181.7445620964,2184.4973151978,2188.1403549195,705.5929330698,761.5178615136,852.2552654316,811.5794510841,826.3102146927,944.3532630276,956.7356290375,946.223646963,898.9448092241,802.6920648172,1550.2884609151,1416.5995123813,1291.7162871859,1202.0363686383,1188.1782349003,1619.0179618375,1537.9493301788,1578.010734749,1710.5523304089,1720.7251028807,3098.2333536369,2294.3864412785,1755.1902655364,1677.9858149872,1681.7321667176,2237.4809492473,2429.1511423069,2531.2078725361,2615.5844357146,2929.1793126923,2324.0945212867,1855.4929768299,1538.1150754461,1542.9370571282,1626.3622919604,2056.7418651637,2023.1838980304,2038.1259875822,2149.945253122,2328.4942881671
eː,eːteːɮeːr,four,f3,514.4554968304,461.6178256015,466.1614788648,486.6691177639,504.9278490275,520.7268502007,536.7998372185,548.084401513,548.3891432271,519.6344966918,2389.2948536588,2387.4872850442,2371.4970612387,2357.6073526447,2327.1441906167,2309.4389649451,2310.1085059229,2325.3182313078,2329.5884836653,2329.2604250496,3143.4189506582,3124.7334066612,3104.1294317475,3073.0443398109,3057.2490239777,2928.7300605143,2674.8528097458,2790.0863838716,3139.1973658112,3090.3828215137,2765.1611457845,2759.1876795025,2736.8888605181,2711.3327939447,2691.9214010073,2613.9007386046,2491.4905792184,2563.0893944289,2733.1813941306,2702.0221637235,476.4648677746,485.3277535076,503.4036336029,515.8542975199,516.3508756555,514.1745461508,510.8618130029,504.1987250619,496.250797748,486.1418130861,2248.289574999,2256.1839510216,2291.131403872,2324.8127420796,2324.32579812,2322.7409950329,2305.6201987835,2292.015737825,2277.7901500602,2246.6596916679,3163.630177373,3162.3384300592,3160.9733542718,3158.1091039363,3155.6384346022,3153.4245891652,3097.6730533943,3079.7242484129,3046.6125162506,3020.1609983429,2722.1307751156,2727.1296093672,2734.5688181806,2737.5168794409,2737.8367723329,2721.7897979521,2702.0203729424,2687.2697846832,2660.6562499736,2621.7022895666
a,iatiɮ,four,f3,673.3189189993,700.0350812843,714.8330040385,723.8969662019,728.8299596491,727.3009720534,697.4639581216,639.3890796249,573.384347565,516.0878863267,2246.680011157,2243.3608068476,2250.4671875156,2260.1311081731,2265.3471356691,2261.0070884719,2237.9824002363,2142.3178582786,2046.1482325922,1935.0001243049,2767.7301261509,2780.5429363957,2789.5050376582,2755.804686857,2601.9112742368,2595.5896128429,2391.6571670075,2323.6681940002,2309.3356926749,2359.9438425267,2479.6735980077,2490.0402963122,2511.9137742631,2505.2920121774,2462.2562559499,2435.2258582791,2344.6948344772,2232.9930261394,2177.7419626336,2147.3909966788,419.7516097759,420.5814925411,421.4113753063,418.7349988947,415.4442679532,412.1535370118,408.8628060704,405.572075129,393.9805296552,377.5658009343,2180.863289447,2211.47430957,2242.0853296931,2239.1638335296,2230.3668865686,2224.4743879548,2227.6942317242,2230.9140754937,2234.1339192632,2237.3537630327,3144.8648672286,3113.9334906281,3083.0021140276,3066.345527476,3052.190119955,3038.8808638656,3028.2263017602,3017.5717396547,3010.5914215532,3005.7460207007,2659.7539406316,2661.040948602,2662.3279565724,2643.4673221862,2621.076488028,2602.3676671368,2595.2107010349,2588.0537349331,2585.7144134038,2586.1743813302
e,eʦ͡eːɮper,four,f3,460.2038694692,464.6505404117,487.2536040589,515.1544256739,542.0042776856,565.7123270705,580.4982447758,583.6874591389,572.5633117812,493.8854079048,2213.3549365421,2211.490293173,2222.5757453451,2220.1863513661,2216.8694712001,2207.7895637992,2186.7136187898,2186.8929387034,2224.0534930871,2208.0084948098,3042.9067492887,3037.1660087614,3041.7607809649,3048.9561127822,3093.4072747706,3121.377793528,3146.138587342,3161.6290743514,3148.5990092786,2921.0387991491,2633.8012942309,2628.1941645546,2635.4910750414,2647.0182863098,2652.9473072857,2661.9841811491,2664.9779809029,2677.3693736667,2686.3262511829,2556.3941901998,442.3728825352,444.8306194633,446.1585914374,447.4865634115,448.8145353856,447.3776868323,443.9933652396,440.6090436468,437.2247220541,433.8404004613,1816.2540670126,1817.3618798482,1820.0074091439,1822.6529384395,1825.2984677351,1827.9439970308,1830.5895263264,1833.2350556221,1835.8805849177,1840.6277018938,2859.6643808864,2861.4566305222,2863.248880158,2865.0411297938,2866.8333794295,2874.9487423905,2887.5179542016,2900.0871660127,2912.6563778238,2927.2452137804,2340.8080545625,2343.5575757741,2346.3070969856,2349.0566181972,2351.8061394088,2358.4651880658,2367.8780137662,2377.2908394666,2386.7036651669,2396.3742504641
u,uːtuːguːr,four,f3,355.9402410371,350.4411601896,342.7256351311,333.9316554734,335.1570091403,339.0631646283,341.8562823107,342.618452116,341.3399538469,331.4359594716,1463.1324523724,1220.5218885186,1104.9234261743,954.39183167,931.2197728711,938.9149978677,972.6564040582,984.60264619,988.9098669844,988.0466627945,2834.0698257309,2815.7544256626,2827.942425378,2823.0863536867,2819.6594483035,2826.7289560503,2865.3997994521,2879.8078356609,2893.1050597054,2894.7733114485,2130.5426612895,2000.1640202695,1978.3534440813,1907.0821250201,1880.8608375568,1884.9377942287,1925.1262569518,1934.9053669512,1942.6539993612,1942.3319777694,330.5728654475,342.3869214565,352.0908354377,363.1140353954,380.3600450716,389.8117673614,399.2634896511,406.6974580007,413.7240351309,442.9299126239,907.1224622379,903.2672829066,901.1907389929,899.8217422453,899.7187577064,899.6157731674,897.6680544522,885.9122724315,892.2941659428,906.0744834627,2969.1473211689,2958.1959044697,2943.76386772,2934.8930150227,2922.0183881025,2921.0733996195,2920.6637295932,2920.2924020723,2880.0722461362,2825.1781346275,1938.0871052627,1930.7315936882,1922.4773033565,1917.3424463968,1910.6389050814,1906.9588970134,1905.380178178,1903.9519654443,1887.6796040256,1886.5221479695
i,iʃiɮijg,four,f3,380.2160203,378.4271998606,377.9530935426,377.5688316845,377.4860650137,377.403298343,366.5581526486,350.2354121625,338.6455165147,334.3593314701,2339.6145718856,2352.4626550156,2352.7026273881,2361.0801873204,2396.214386596,2424.5648699788,2428.3634254418,2428.5348382185,2428.2450198071,2410.8406126417,3067.752459974,3068.3962848251,3069.4226152089,3089.6675287671,3167.0117394765,3178.6826008154,3181.7669723289,3184.1115057364,3197.7334818869,3218.5123667488,2690.0401007532,2697.3861181756,2705.5201416215,2725.3738580437,2781.1446579019,2794.92048148,2801.5329345169,2801.4484227177,2799.5089016596,2796.8737120638,346.3034968535,342.7514863196,344.1171012602,350.0594088981,356.7875733264,362.9339177791,364.0041873834,361.7227876751,355.67187438,343.5474184106,2335.2887757064,2373.341118082,2404.0128285062,2422.8728618324,2424.6453104742,2423.6432272609,2423.5942847624,2423.8099611901,2440.59205229,2480.1971136937,3083.3703081588,3108.6987401793,3110.3218194519,3095.9847520292,3071.6038790721,3006.0504309272,2952.5054287818,2935.3962496071,2921.4494522535,2876.3376432488,2694.4354974329,2741.6648245178,2760.3145912873,2758.4231388875,2754.0655219694,2716.3175120662,2683.0512348237,2681.8211699315,2680.8549352345,2680.0290710321
i,iminij,four,f3,321.0286580748,338.3681536656,338.7057037303,339.1820333964,341.0770273869,344.8824943946,346.8367118276,346.7717360992,345.0475357582,337.0494760898,2213.5431865536,2445.7144256471,2505.0249212394,2521.6286090452,2526.6121364741,2526.7123766461,2527.6126254742,2529.0836275292,2525.8677002799,2524.060551199,2741.9580490106,2859.0332154167,2953.7520501306,3029.7575968978,3093.2075428808,3115.7212123335,3138.726750972,3179.0817606625,3185.3747642794,3164.5909100726,2477.7506177821,2652.3738205319,2729.388485685,2776.4280582639,2815.6799799556,2826.3206325208,2831.8709277764,2850.4991650368,2854.8663935186,2840.8523587089,320.0744694775,322.0247309325,323.9888663097,325.1817278151,325.6568398768,326.0930452892,326.4817543794,327.4990476647,326.430735001,324.6998222824,2172.7557821595,2515.5798501049,2537.7554799151,2553.0002283544,2566.3807420858,2581.9473181003,2589.4388133903,2591.3427644329,2593.8448991527,2600.0859741962,3141.8601505178,3250.2779353606,3298.5113272303,3328.3242753214,3328.035171364,3325.1199720966,3307.2260125991,3266.3698551208,3215.0151073937,3139.8774827512,2853.2116072152,2882.9288927328,2918.1334035727,2940.6622518379,2948.5419622444,2949.0642405422,2948.7023815111,2932.2242563545,2904.4306699094,2873.4358748473
u,esuɮteːr,four,f3,573.0657452691,482.1891677152,437.6706129656,413.5368596007,394.712637038,382.6982058276,379.0488765369,372.3909141421,360.3842873064,343.573878402,1543.9685841825,1375.48442021,1355.966896359,1354.1998758662,1357.3933067771,1363.7969794895,1378.8201574143,1423.2239943488,1514.2145491996,1621.7470022168,2795.4544308133,2791.3841027591,2787.3137747049,2780.3577651262,2766.60303055,2757.5522009831,2759.1823668697,2757.2430541159,2755.3037413622,2753.6114926607,2177.304565759,2120.0349511913,2089.1732588506,2073.0824057852,2064.7097014338,2064.3974859805,2071.5244443072,2082.3531806989,2123.9399776324,2209.4928375623,544.0669269582,530.4297817653,530.0818650185,537.7071531521,545.0601777671,549.581745713,550.2075899725,550.0492917427,547.8729293073,534.8938211987,2102.819151443,2155.1341156389,2173.0842541868,2176.691229388,2175.8951839512,2171.5820964098,2161.4607731253,2142.0458145573,2111.0543419631,2072.7728015014,2999.1601297097,2993.8126013195,2999.283704277,3002.1916849089,3003.512551667,3006.8611299714,3012.8016949025,3020.2072274931,3003.9867442027,2993.5292427868,2555.9412006615,2569.6363486214,2585.335905546,2590.7206619491,2590.499864122,2589.3425984986,2587.1312340139,2581.1265210252,2568.2632421867,2550.470035202
u,isuːɮijg,four,f3,408.7501652458,402.879700307,399.3425180908,392.1292085821,382.3383186173,376.8844538376,372.0753185438,361.5666149876,349.8129560368,345.4851127253,1344.8073583278,1284.9384817262,1277.9817167531,1225.7158463975,1182.2429690925,1193.5205196069,1236.0026339689,1370.6235238137,1509.9585424343,1652.888420106,2857.0404591561,2781.262990223,2782.4778087802,2791.5236943345,2792.5343393585,2778.4615574683,2771.4680517097,2769.4750734468,2766.2608145236,2755.9638165998,2045.6184965447,2030.5441031383,2022.1774343824,2010.4652042052,1990.3197237703,1989.3407587207,1996.9382401177,2074.2611716132,2134.0303749149,2201.1143909689,313.3365444969,313.5970835048,320.8496848527,344.3853621142,371.5404369165,379.2991595173,380.7199841159,380.9184570771,375.8188799206,368.8181818019,2368.4323638233,2327.9997526289,2316.2876606982,2324.0976180397,2338.9221306618,2431.2069334278,2488.2991272058,2518.0905613453,2560.0643561869,2616.1827401201,2964.3715838674,2993.9257785854,3012.1248386648,3029.6854480517,3042.8646988531,3035.6892932168,3028.5138875805,3013.426283246,2971.0687382826,2943.2739468196,2641.1058730995,2648.0860871046,2657.3077801369,2674.4753249037,2705.7865650423,2754.5864256392,2760.8784300475,2761.4207027108,2761.202935983,2759.9664221872
a,ʊːtaɮʊːɮ,four,f3,661.3386011223,669.5565783092,726.5155690241,782.9329009875,815.7469453294,826.024384247,825.6611422051,820.5588393133,790.6572773998,736.9480592594,1786.071828112,1776.318039189,1754.1288335621,1724.2066527469,1709.9325408293,1695.5413857776,1679.4406285237,1665.3396462202,1653.2186601679,1656.4482746519,3051.8103943599,3069.6301265204,3074.5953930308,3076.4400684471,3075.252060826,3074.5267518514,3074.2111085948,3072.8714694026,3059.0863840509,3044.9299376909,2431.986968254,2428.9932826603,2421.7155514752,2402.1698869153,2392.450877081,2385.8616632975,2374.1739185335,2369.7463973505,2361.1550790347,2371.4196584668,561.3020722439,552.6722053577,552.026006576,552.4021753211,553.3423304792,556.3189278648,558.4229491057,557.5014742282,553.8047757377,543.5417095465,1296.0925240696,1257.8013652672,1236.3499340498,1206.0555338011,1173.2334677592,1168.4594005017,1177.218404488,1239.9917163875,1318.9838022288,1364.556397101,2983.7248322279,3079.5102413171,3088.127010733,3091.8917005647,3096.6345954424,3127.8707017942,3182.249444882,3205.2180392361,3225.3668722092,3236.2941944651,2195.8470611735,2182.7060491018,2176.2841856252,2153.5693773016,2143.6549549438,2147.3590620824,2179.733924685,2222.6048778118,2272.175337219,2301.4512221758
i,eʃiɮeːr,four,f3,403.9619706166,385.7924153818,377.0890911491,368.8295129108,360.5699346725,356.5821887145,351.6425940366,339.7156237143,321.1096132669,299.0946437303,2427.9989204548,2427.6134108674,2427.22790128,2426.3048004317,2424.4973109134,2420.1925073975,2413.7766472215,2402.1902384478,2388.4155391071,2373.5775234097,3097.412470043,3097.7117084411,3100.266961752,3104.2082274488,3110.2556387486,3117.3038496224,3123.2723452928,3124.6313214954,3125.9902976979,3128.107450609,2764.0767643621,2766.460816294,2766.9403520648,2767.3306103378,2767.7208686107,2766.7623550665,2765.4685310041,2764.1747069417,2762.0077140419,2759.4040778994,661.9250776572,542.7088850232,525.2239824276,524.7661153967,529.2362764229,535.3618803138,540.4011207875,543.3844959377,543.4244125796,535.8680998594,2255.8909241706,2248.7855265403,2250.719158802,2248.7683272008,2243.4266463849,2192.9657527922,2177.5571279725,2177.5363891308,2179.2601207257,2170.3475220925,3047.2671344552,3003.6616874668,3001.694861663,2986.7375463441,2961.209655278,2961.6773333696,2972.4541403825,2999.2117719424,3031.5658567291,3040.0399454211,2654.1818787554,2633.1659767589,2624.4663137468,2620.6839063007,2602.3181508314,2579.4576629115,2579.8935552332,2587.151732813,2602.7014007277,2601.3702055381
ɔː,ʊːtɔːgʊːr,four,f3,642.267815075,722.9425149161,783.536667275,801.7738647343,805.4204902137,787.0093410412,736.2405283516,673.4097831534,602.5641860175,542.564996067,1783.3940828917,1617.6411196562,1461.4492721441,1347.9644253837,1266.496192075,1250.1692094658,1099.5309803781,1027.792233735,934.4936610845,884.9926707082,3119.2663346394,3158.905484601,3109.362622931,2969.4721131665,3010.0922633122,3027.6299328592,3079.1452660272,3154.2692498984,3159.5174742333,3161.2501897458,2490.5857870906,2395.3556549411,2285.4059475376,2145.151123551,2143.6288789088,2133.2524293201,2097.1589371897,2090.052404171,2047.7978514937,2023.4712365765,457.884898883,467.6064211298,485.4887482312,502.699048681,508.1693948636,509.0933047788,509.3816974187,509.3169962464,509.252295074,508.196288407,821.7444260489,826.1955977687,830.6467694884,875.2417583411,924.9516477501,964.8573605323,992.5305076843,1017.2612230356,1064.9988017067,1109.247195401,3040.7032864821,3007.3112326508,2988.6239021451,2980.2166990446,2972.173612722,2964.4965424612,2944.3230842701,2895.7303753338,2860.1410670863,2840.2762393823,1948.0783185712,1936.1965250432,1940.0045932382,1943.8126614332,1948.6300628891,1953.7934577309,1958.1408277943,1960.3148677198,1959.1939440423,1958.0730203648
œ,œsœɮœr,four,f3,639.2096336752,542.4807650099,491.115092981,465.2666505714,449.6380224713,440.811804585,435.8604124915,430.909020398,426.0277914642,420.2413846515,1708.6647322971,1695.14219101,1679.8377001903,1673.2928245496,1671.9505615708,1673.7692140996,1675.5878666284,1693.615747613,1708.1876960146,1717.1608530585,2827.5526721561,2761.5439719862,2728.3395621202,2719.9610400196,2716.8462667317,2717.0214712419,2721.4151847916,2725.8088983414,2731.0474931101,2738.8663468713,2268.1087022266,2228.0462574782,2202.5086956055,2196.4513167415,2194.8267107031,2194.9328412075,2195.0389717118,2208.5604169491,2219.6175945624,2228.0135999649,461.0430276087,462.5997689315,464.1565102544,465.6088673753,464.8873506215,464.1658338677,463.4443171139,463.0781075843,466.5828852432,558.5103541605,1754.1718758839,1734.5549713775,1718.4214615999,1704.1949056904,1700.6637763149,1698.0197031286,1696.8393044862,1696.6466179227,1696.8595428943,1697.0724678659,2857.9948895798,2837.7583279122,2828.972655181,2824.892747206,2823.4227050882,2825.3391360614,2832.8433691567,2837.1541540129,2840.1535248749,2843.1528957368,2302.0412173895,2271.5535207927,2261.8885807243,2260.6168093962,2260.6758632691,2260.7349171419,2260.7939710148,2262.8743275247,2265.9795320302,2273.7083654893
u,iːʦ͡ʊːriːg,four,f3,533.6213624041,480.9739929982,483.1517229792,498.1444640674,508.5992763537,521.4380490756,528.2556844477,538.1191263095,549.0950662079,550.271541486,1581.8599403129,1482.2199401779,1380.8488029018,1249.9578197536,1227.7285351669,1170.0933860167,1119.549183791,1127.7799714211,1152.7878412867,1225.0269898618,2904.7462250942,2928.7186564277,2938.9302095685,2959.6935024883,3034.6063586504,3061.8902887601,3041.6809540968,3034.5880251728,2985.0419901445,2652.8112014366,2275.9085703907,2205.4692983028,2171.1852728745,2132.1297259541,2129.1223835494,2122.331576466,2084.856740392,2077.5388386705,2052.9986848234,1938.9190956492,476.5738704304,487.2935776315,491.3680537066,492.4755109545,492.9109444341,492.2475089055,491.1763461743,477.3350649564,456.6402102157,436.5858992173,1819.9321282064,1861.3278095116,1914.3384226718,2016.3666678422,2106.5548771171,2142.2782104098,2269.2620814039,2396.179546876,2509.6751491017,2570.7609266299,2755.2351073323,2764.8998175918,2804.831450872,2889.6479134247,2926.9883111735,2942.6402552494,2960.7307273654,2978.4628727964,2980.0202167657,2980.6791400866,2288.5515610984,2300.0177316344,2359.5849367719,2444.5061145751,2501.002278389,2539.2097505964,2627.8830895125,2687.3779769949,2747.5735469872,2781.9766837265
ʊ,ʊːpʊɮʊːr,four,f3,507.279100804,532.5504578866,542.3250941668,551.8792517706,560.9320905884,561.0918143056,557.190377807,550.3018821758,527.2359596174,498.5140063135,1142.1550300114,1072.7421055868,1071.3007777173,1072.414425133,1080.0015590619,1105.1753305219,1136.040917011,1178.3456080814,1218.6773668441,1254.5766444273,2951.5583204683,2959.2912681135,2981.2483095235,3015.8031409651,3047.2819064911,3089.8293082723,3116.4440701213,3121.8195746691,3122.7749306514,3125.9728884268,2019.5153094444,2021.8440835984,2026.9143420684,2037.8781519628,2063.6417327765,2097.5023193971,2126.2424935662,2156.0202884843,2175.4249774955,2187.5966654655,593.4424065172,562.1103928368,555.7207049048,555.409769054,554.6352859418,554.0674860604,553.6472509729,552.0537354143,550.8459747109,550.3615078676,1272.6818317869,1214.0223332084,1133.0531923195,1093.6985013043,1073.2199953406,1073.481223522,1075.438046189,1092.679431203,1122.4943500033,1182.2533486836,3180.1982493014,3165.5691413139,3072.4260671897,3054.4148386054,3044.7347063684,3043.1332385487,3037.260321859,3017.965287013,2944.1465544591,2737.8527588303,2248.560667835,2189.7957372612,2102.7396297546,2074.0566699549,2058.8245632221,2056.1658761915,2055.4718268539,2055.3361125862,2033.3204522312,1982.3771883954
ʊ,aʦ͡ʊraɮtʰ,four,f3,549.6899951061,479.9027055134,481.9253555527,496.7826018438,505.5520916249,513.2032241995,516.4784926411,524.362017972,531.1563088641,532.5142667788,1684.9143963282,1474.1020383577,1346.1296219168,1231.6818884373,1194.8070340971,1106.7350634575,1065.4928169332,1043.8676483938,1032.2122386219,1041.2485882088,3043.5633258948,2925.7015525132,2887.5086208324,2848.5432780805,2833.8282609748,2863.4786098612,2923.5802672075,2961.3618656421,2985.0969617107,2957.2796345934,2281.3751184005,2199.9017954354,2116.8191213746,2040.0299001604,2003.4161218475,1992.8042670574,1994.5365420704,2002.614757018,2006.253644778,1999.031806143,516.3963076536,523.8802788838,538.6390828667,554.9082897953,557.8592656896,554.6999314854,537.4161211184,522.8813763845,505.6201746009,488.4985599047,1230.574059358,1202.8434812626,1154.3404369792,1127.5878542969,1128.1365855539,1132.2254968322,1148.1938911585,1222.7266568467,1294.4712547694,1309.0637322909,2488.8243989098,2484.603417447,2484.62323109,2486.5136236279,2638.6514471679,2811.7124688529,2922.6887017825,2992.2027847941,3016.4107544756,2997.3863963258,1827.1204529169,1823.2985373304,1820.3818054417,1823.3044803075,1876.9814975105,1962.4481002144,2030.6460044783,2107.4647208204,2155.4410046225,2159.9104251333
ʊ,atʊːɮaɮ,four,f3,465.1305455752,471.0118583987,480.6440900419,495.7685312016,503.9890125121,507.5798853813,517.5975037882,525.6795555811,532.4535859188,530.9928922162,1271.1177167049,1225.8041043371,1144.3277015389,1095.4253909963,1030.562935278,986.8294975087,966.2459018172,968.6049510582,1012.6143204096,1108.416190367,3003.3570576992,3021.5102646522,3039.1009696267,3049.4623009922,3068.0379819532,3131.8330730886,3148.4683326292,3146.2246251821,3134.023990211,3137.4065462207,2149.1852719972,2122.7558838048,2099.6153398516,2077.4082143219,2056.3723360521,2056.3147760064,2055.9204789048,2056.3463161654,2063.8508165563,2114.989097038,584.8685578931,584.7944909773,583.651535873,581.6730123037,579.359298225,575.0019053663,566.6152473501,546.5536569809,518.2109119144,486.3694071992,1407.3460756688,1401.1671572652,1399.7243867272,1399.8924679218,1400.550415727,1400.4885546051,1400.4266934832,1399.8344183388,1396.9856087095,1391.3259479259,3110.4499487811,3159.0197718973,3186.4122183299,3196.3941552393,3197.4729255988,3197.7192326116,3196.3810537446,3194.8409737869,3192.6236257336,3189.2381351886,2275.5468836823,2278.4687319887,2283.3331425819,2288.6458072025,2292.6333089663,2294.180884109,2293.1216462413,2291.7302385532,2289.6644782193,2286.7952253089
ɔː,ɔːpɔːɮɔːr,four,f3,582.3713938781,636.4674725002,719.0558299284,757.7047120749,763.7783759818,764.2266544951,769.1533634093,772.8792517798,767.5563327396,721.8583185786,1202.1240175904,1060.6034510302,1023.3491594687,1015.9294534937,1034.5286528204,1080.5987201964,1153.4377719154,1232.2235528292,1334.1858087715,1394.9887876539,3035.6221992959,3036.2298308956,3063.3025291385,3109.6250470575,3154.6941802961,3183.3078378864,3239.56513086,3239.4065703793,3241.70910866,3245.1117391718,2117.1011806287,2058.1464221484,2049.5338154453,2067.420284875,2100.9853088888,2130.6503410417,2209.6463783771,2231.9961699392,2291.807713261,2321.4574421425,744.1524772023,745.2233337615,746.3689418218,744.5721995976,742.7754573733,731.5111254122,703.987670616,679.6775494862,648.8302500266,613.1529210511,1605.0630822189,1599.4486505824,1597.233249218,1595.0222137154,1595.113914663,1595.0566044181,1594.9870374609,1594.7935830887,1597.7446427544,1602.1231502465,3153.6573039462,3188.5870869238,3203.4443613567,3210.4994757694,3202.5470963258,3194.5947168821,3171.932272847,3153.150211304,3064.5416546111,2919.6485575061,2409.7928792783,2410.0599668295,2409.8786610201,2409.6923183963,2406.8493512095,2397.1996466975,2383.345176198,2374.5725760492,2329.7076612348,2256.03051949
u,epurteɮ,four,f3,556.0269402239,466.6007626615,435.9933030304,430.7562258812,429.1461044472,429.0452070449,428.2936474811,427.6391936506,427.857156373,428.4810313373,1056.1757497511,968.9633911982,944.0278767982,943.0298702983,955.3817935346,992.3306361013,1028.2834411737,1094.6867197279,1130.2879402468,1159.1498327506,2563.6421142399,2666.2344794278,2708.8974503874,2713.6201408282,2713.8300980444,2718.119330991,2721.457448973,2718.1917090663,2695.0170041534,2688.7653723507,1905.8155383334,1847.6576340124,1835.560235517,1835.8185673923,1839.3174154333,1857.8491093197,1879.7404829251,1909.2095111448,1908.2264707157,1921.6486396443,449.177993454,445.1153022076,442.1791752539,439.2430483002,436.3069213466,430.7611145554,424.7503584316,411.4939596946,397.2078967628,375.9627514441,1909.8981610337,1909.3631446567,1908.8281282797,1908.1209894131,1907.3945696081,1908.861320009,1910.3824458603,1911.9035717116,1913.7143822168,1917.4830537244,2944.9621280922,2938.3470684394,2937.7404434968,2937.426271118,2937.1448588966,2936.8634466752,2936.5135306323,2934.9234958501,2933.3334610678,2931.7434262856,2425.2226413604,2423.6088090112,2423.4517354879,2423.4897746074,2423.5496699924,2423.6095653774,2423.7114057141,2424.5725718746,2425.2506762864,2424.6915406384
ʊ,isʊɮiːg,four,f3,638.9202557018,594.585758729,563.1149425979,541.179669211,519.244395824,533.0645319987,595.3976613698,614.1152467076,618.0506581464,603.3526602862,1326.0020916577,1309.5627666547,1298.5413373484,1291.5360661413,1292.1527186662,1292.7747284266,1293.3967381871,1311.8750748404,1334.9151660266,1361.6418541489,3100.183340511,3118.0293275783,3127.810666211,3131.613871461,3132.3502633452,3130.4331451015,3124.9186650354,3119.4041849692,3109.3685935831,3087.37273732,2230.8946475901,2226.5150473194,2223.8107923003,2222.3484311413,2221.8465467259,2221.3453374025,2220.8441280792,2232.9583603058,2247.3109025467,2261.6634447875,518.2601343718,520.9488054576,525.1604842995,527.3059487207,527.4890669619,526.6382064553,510.4236747606,473.4630755505,443.5762328303,425.876429135,2018.5322786505,2023.935518387,2055.1665067711,2131.386604402,2206.0505272675,2257.566498554,2300.0106894762,2339.0659663777,2397.2569192579,2547.4798295572,3256.6733737974,3262.6621814579,3281.6130119818,3297.5746907848,3297.570455688,3294.1752817476,3260.2609782866,3225.0422504163,3181.957502699,3161.0647848033,2641.8464052123,2646.640256594,2668.3625816216,2721.7058944497,2760.8002800947,2773.2643881073,2780.0325372808,2780.1508861736,2789.6072109784,2818.6116793441
